date,dOY,year,site,temperature,airTemp,rain
6/27/1998,178,1998,FHR_001,10.27416667,12.08703,NA
6/28/1998,179,1998,FHR_001,10.66,13.805605,NA
6/29/1998,180,1998,FHR_001,12.17916667,14.851325,NA
6/30/1998,181,1998,FHR_001,13.65416667,18.044035,NA
7/1/1998,182,1998,FHR_001,14.15083333,18.17105,NA
7/2/1998,183,1998,FHR_001,14.0275,17.33293,NA
7/3/1998,184,1998,FHR_001,14.87833333,19.7173,NA
7/4/1998,185,1998,FHR_001,15.00916667,18.95895,NA
7/5/1998,186,1998,FHR_001,14.54916667,18.13255,NA
7/6/1998,187,1998,FHR_001,14.02666667,17.42805,NA
7/7/1998,188,1998,FHR_001,14.9775,19.0561,NA
7/8/1998,189,1998,FHR_001,15.25833333,20.17215,NA
7/9/1998,190,1998,FHR_001,15.5125,21.1042,NA
7/10/1998,191,1998,FHR_001,16.80083333,23.25505,NA
7/11/1998,192,1998,FHR_001,16.03166667,20.68845,NA
7/12/1998,193,1998,FHR_001,15.06333333,17.708,NA
7/13/1998,194,1998,FHR_001,14.2075,16.76126,NA
7/14/1998,195,1998,FHR_001,13.78833333,17.322865,NA
7/15/1998,196,1998,FHR_001,14.24916667,19.04466,NA
7/16/1998,197,1998,FHR_001,15.18583333,21.1743,NA
7/17/1998,198,1998,FHR_001,15.64416667,21.9667,NA
7/18/1998,199,1998,FHR_001,16.075,22.8266,NA
7/19/1998,200,1998,FHR_001,15.76,21.46955,NA
7/20/1998,201,1998,FHR_001,15.135,20.20442,NA
7/21/1998,202,1998,FHR_001,14.93916667,19.70505,NA
7/22/1998,203,1998,FHR_001,15.12083333,20.92145,NA
7/23/1998,204,1998,FHR_001,15.40833333,21.32195,NA
7/24/1998,205,1998,FHR_001,16.12916667,23.15585,NA
7/25/1998,206,1998,FHR_001,16.19583333,22.3879,NA
7/26/1998,207,1998,FHR_001,16.35416667,23.8607,NA
7/27/1998,208,1998,FHR_001,16.6075,23.8472,NA
7/28/1998,209,1998,FHR_001,16.34916667,23.72195,NA
7/29/1998,210,1998,FHR_001,16.92,20.87835,NA
7/30/1998,211,1998,FHR_001,16.32583333,21.0032,NA
7/31/1998,212,1998,FHR_001,16.15333333,21.82745,NA
8/1/1998,213,1998,FHR_001,15.23083333,20.25335,NA
8/2/1998,214,1998,FHR_001,16.2725,18.74555,NA
8/3/1998,215,1998,FHR_001,15.79833333,20.27685,NA
8/4/1998,216,1998,FHR_001,15.51166667,21.3662,NA
8/5/1998,217,1998,FHR_001,15.1075,22.1965,NA
8/6/1998,218,1998,FHR_001,15.91583333,23.1083,NA
8/7/1998,219,1998,FHR_001,14.59833333,20.6996,NA
8/8/1998,220,1998,FHR_001,13.46916667,18.66587,NA
8/9/1998,221,1998,FHR_001,13.21166667,18.88778,NA
8/10/1998,222,1998,FHR_001,13.46083333,20.280245,NA
